Title,Price,Review,Link
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹16,990",3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJtHR6E6lHkpO-dvoYljoHvarckD4BH12_KyZxLeO4UOvA%3D%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 ...,"₹1,81,990",NULL,https://www.flipkart.com/samsung-galaxy-book5-pro-ai-pc-full-metal-chasis-intel-core-ultra-7-258v-32-gb-1-tb-ssd-windows-11-home-np960xha-thin-light-laptop/p/itm8389fa3967010?pid=COMH9PHPDCXYMYVR&lid=LSTCOMH9PHPDCXYMYVR13EJD2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJvNFSuwX1VTAPmvSw6mhQNAY7iSV34w7y38k2WA_Rnwgnbokvd1CzEZnIJbyf1TmFY%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹15,990",3.7,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WZOS2IO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,"₹32,990",4.3,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj322ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KT9ZMYXA6&lid=LSTCOMH4Y6KT9ZMYXA60HIRLB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH4Y6KT9ZMYXA6.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...,"₹33,470",3.8,https://www.flipkart.com/hp-g9-intel-core-i3-13th-gen-1315u-turbo-boost-finger-print-16-gb-512-gb-ssd-windows-11-pro-250r-business-laptop/p/itmff5abac6385ed?pid=COMH7Z2FGDVU8DZT&lid=LSTCOMH7Z2FGDVU8DZTN7J6EB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH7Z2FGDVU8DZT.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,"₹18,990",3.7,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-plus-laptop/p/itm9002f3d92e61f?pid=COMGYAM9KS83NEPS&lid=LSTCOMGYAM9KS83NEPSPOX0OT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJvgSPPbMrjFRPoZ7AhaTWpH7fOXJs0RvuyDY2kW6HX-9g%3D%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...,"₹35,470",4.3,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj342ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH3BKW6EQAZAWC&lid=LSTCOMH3BKW6EQAZAWCJ4JQRL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH3BKW6EQAZAWC.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U - (8 GB/512 GB SSD/Windows 11 Home/1 GB Graphics) V15 G...,"₹27,390",3.9,https://www.flipkart.com/lenovo-v15-amd-ryzen-3-quad-core-7th-gen-7320u-8-gb-512-gb-ssd-windows-11-home-1-graphics-g4-amn-thin-light-laptop/p/itm575eadcc5ae49?pid=COMH39ECM9GXRCKU&lid=LSTCOMH39ECM9GXRCKUL3DMJY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH39ECM9GXRCKU.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹51,990",4.5,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹19,990",3.7,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
